Article_id,mrch_catg_nm,styl_nm,nrf_col_desc,size_valu,High_Performing_Store,Low_Performing_Store,Conv_Diff
13736262003,L Dress Sandals,SANNE,BLACK,6.5,1471,1020,100.0
13736262006,L Dress Sandals,SANNE,BLACK,8.0,1019,1471,66.67
13736262007,L Dress Sandals,SANNE,BLACK,8.5,1019,1020,92.80000000000001
13736262007,L Dress Sandals,SANNE,BLACK,8.5,1019,1471,92.80000000000001
13736262007,L Dress Sandals,SANNE,BLACK,8.5,1053,1020,81.82000000000001
13736262007,L Dress Sandals,SANNE,BLACK,8.5,1058,1020,100.0
13736262007,L Dress Sandals,SANNE,BLACK,8.5,1053,1471,81.82000000000001
13736262007,L Dress Sandals,SANNE,BLACK,8.5,1058,1471,100.0
13741623008,L Dress Sandals,SANNE,OTHER DARK BEIGE,9.0,1019,1020,91.67
13741623008,L Dress Sandals,SANNE,OTHER DARK BEIGE,9.0,1019,1471,91.67
13741623008,L Dress Sandals,SANNE,OTHER DARK BEIGE,9.0,1053,1020,100.0
13741623008,L Dress Sandals,SANNE,OTHER DARK BEIGE,9.0,1058,1020,100.0
13741623008,L Dress Sandals,SANNE,OTHER DARK BEIGE,9.0,1053,1471,100.0
13741623008,L Dress Sandals,SANNE,OTHER DARK BEIGE,9.0,1058,1471,100.0
13707790003,L Dress Sandals,TULIPA,BLACK,6.5,1019,1058,42.59
13707790003,L Dress Sandals,TULIPA,BLACK,6.5,1020,1058,50.0
13707790003,L Dress Sandals,TULIPA,BLACK,6.5,1053,1058,50.0
13707790003,L Dress Sandals,TULIPA,BLACK,6.5,1471,1058,50.0
13578771005,L Dress Sandals,VIDISH,WHITE,7.5,1019,1058,88.89
13578771005,L Dress Sandals,VIDISH,WHITE,7.5,1020,1058,83.33
13578771005,L Dress Sandals,VIDISH,WHITE,7.5,1053,1058,83.33
13388480004,L Perf Shoes,DILATHIELLE,WHITE,7.0,1019,1058,73.33
13388480004,L Perf Shoes,DILATHIELLE,WHITE,7.0,1471,1058,83.33
13743860004,L Cas Sandals,ERIRENI,OPEN NATURAL,7.0,1053,1020,36.67
13743860004,L Cas Sandals,ERIRENI,OPEN NATURAL,7.0,1058,1020,45.0
13474497006,L Dress Sandals,ENAEGYN,BEIGE,8.0,1019,1058,83.33
13474497006,L Dress Sandals,ENAEGYN,BEIGE,8.0,1053,1058,83.33
